S.No,Field of Interest,Company Hired,Top Skill,Experience Level
2071,Mobile Development,Mercer Mettl,Ethical Hacking,Fresher
2072,AI/ML,Batt:RE,Tableau,Fresher
2073,Cybersecurity,Bosch Ltd.,C,Fresher
2074,DevOps,Palo Alto Networks,RTOS,Fresher
2075,Cloud Computing,Blackrock,Network Security,Fresher
2076,Cloud Computing,Dell Technologies,RTOS,Fresher
2077,Web Development,Principal Global,C#,Not Fresher
2078,Cybersecurity,Navikenz Inc,SQL,Fresher
2079,Game Development,Dell Technologies,Kotlin,Fresher
2080,Embedded Systems,Batt:RE,Flutter,Fresher
2081,Game Development,Scaler,Network Security,Not Fresher
2082,Mobile Development,Samsung,TensorFlow,Not Fresher
2083,Data Analytics,OnePlus,C#,Fresher
2084,Cloud Computing,Ubisoft,Azure,Fresher
2085,Cybersecurity,Navikenz Inc,Scikit-learn,Not Fresher
2086,Web Development,Cisco,Unity,Not Fresher
2087,DevOps,Synopsys,AWS,Fresher
2088,Cloud Computing,Harness,AWS,Not Fresher
2089,DevOps,Mercer Mettl,Tableau,Fresher
2090,Cybersecurity,Cipla,AWS,Fresher
2091,Embedded Systems,Mahindra Comviva,Scikit-learn,Fresher
2092,DevOps,HSC,Power BI,Not Fresher
2093,Embedded Systems,Principal Global,Unreal Engine,Fresher
2094,Data Analytics,Talsmart,React Native,Not Fresher
2095,Cloud Computing,Arvind Fashion,Kubernetes,Fresher
2096,Mobile Development,Blackrock,Docker,Fresher
2097,Data Analytics,Scaler,Power BI,Fresher
2098,Game Development,Synopsys,C,Not Fresher
2099,Game Development,Domato Book Co.,RTOS,Fresher
2100,Web Development,Infosys,RTOS,Fresher
2101,Web Development,Microsoft,C,Not Fresher
2102,Cybersecurity,Arvind Fashion,SQL,Fresher
2103,Cybersecurity,Watchguard,PyTorch,Not Fresher
2104,Data Analytics,Google Cloud,Microcontrollers,Fresher
2105,Cybersecurity,Micron Semiconductor,React Native,Fresher
2106,Mobile Development,SAP Scholar,Kotlin,Fresher
2107,AI/ML,Micron Semiconductor,RTOS,Fresher
2108,Embedded Systems,HSC,Azure,Not Fresher
2109,Embedded Systems,Google Cloud,HTML/CSS,Fresher
2110,Cybersecurity,Synopsys,Flutter,Fresher
2111,Web Development,KPMG,C,Not Fresher
2112,Web Development,Mahindra Comviva,Kotlin,Fresher
2113,Cloud Computing,Ubisoft,HTML/CSS,Fresher
2114,Game Development,Tech Mahindra,C,Not Fresher
2115,Data Analytics,SAP Scholar,Network Security,Not Fresher
2116,DevOps,Batt:RE,CI/CD,Not Fresher
2117,Game Development,Synopsys,SQL,Not Fresher
2118,Data Analytics,Juniper Networks,Flutter,Not Fresher
2119,DevOps,Amazon,Power BI,Not Fresher
2120,Mobile Development,Zscaler,PyTorch,Not Fresher
2121,Mobile Development,Deloitte,C#,Fresher
2122,Mobile Development,EVAge Motors,Firewalls,Not Fresher
2123,Game Development,JP Morgan,Scikit-learn,Fresher
2124,Game Development,NVIDIA,HTML/CSS,Fresher
2125,Embedded Systems,Red Hat,Azure,Fresher
2126,Data Analytics,Electronic Arts,Docker,Fresher
2127,Cybersecurity,TVS Motors,Tableau,Not Fresher
2128,Cloud Computing,Tata Consulting Engineers,Scikit-learn,Fresher
2129,Data Analytics,JP Morgan,SQL,Fresher
2130,Web Development,EVAge Motors,Angular,Fresher
2131,Game Development,Ubisoft,CI/CD,Fresher
2132,AI/ML,Microsoft,TensorFlow,Fresher
2133,Mobile Development,Nokia,Flutter,Fresher
2134,Mobile Development,EY,RTOS,Fresher
2135,AI/ML,Zscaler,Power BI,Fresher
2136,AI/ML,Batt:RE,RTOS,Not Fresher
2137,Game Development,Marsh McLennan,Scikit-learn,Fresher
2138,Embedded Systems,Genpact,React,Not Fresher
2139,Cybersecurity,Seagate,C,Fresher
2140,Web Development,Deloitte,SQL,Not Fresher
2141,Data Analytics,British Telecom,Microcontrollers,Not Fresher
2142,Mobile Development,Red Hat,Angular,Not Fresher
2143,AI/ML,Nokia,Azure,Not Fresher
2144,AI/ML,Mercer Mettl,Angular,Not Fresher
2145,Cloud Computing,Micron Semiconductor,CI/CD,Not Fresher
2146,Cloud Computing,Secure Meters,PyTorch,Fresher
2147,DevOps,Microsoft,Microcontrollers,Not Fresher
2148,AI/ML,Secure Meters,Network Security,Fresher
2149,Embedded Systems,Qualcomm,TensorFlow,Not Fresher
2150,Embedded Systems,Apple,PyTorch,Fresher
2151,Cybersecurity,Batt:RE,React,Fresher
2152,DevOps,TCS,Docker,Not Fresher
2153,Embedded Systems,NI Systems,React,Not Fresher
2154,Cybersecurity,Yamaha,Firewalls,Not Fresher
2155,Game Development,Celebal Technologies,React Native,Not Fresher
2156,Web Development,NI Systems,Kubernetes,Fresher
2157,Game Development,HashedIn,Unity,Fresher
2158,Cybersecurity,Domato Book Co.,Tableau,Fresher
2159,DevOps,SunLife,HTML/CSS,Not Fresher
2160,Cybersecurity,Maverick Quantum,Microcontrollers,Not Fresher
2161,Cybersecurity,Maverick Quantum,SQL,Fresher
2162,Embedded Systems,Cimpress,Angular,Not Fresher
2163,Cloud Computing,Rockstar Games,React,Fresher
2164,Cybersecurity,Cipla,PyTorch,Fresher
2165,Cloud Computing,Juniper Networks,TensorFlow,Not Fresher
2166,Cybersecurity,Silicon Labs,C,Fresher
2167,Embedded Systems,KPMG,Unity,Not Fresher
2168,Cloud Computing,Google,C,Not Fresher
2169,Mobile Development,Persistent,Microcontrollers,Fresher
2170,Cloud Computing,EY,Tableau,Fresher
2171,Web Development,Cipla,Flutter,Not Fresher
2172,AI/ML,Schneider,AWS,Not Fresher
2173,DevOps,Blackrock,Firewalls,Fresher
2174,Mobile Development,Schneider,Flutter,Fresher
2175,Data Analytics,Arvind Fashion,Microcontrollers,Fresher
2176,Mobile Development,Accenture,Flutter,Fresher
2177,AI/ML,Nokia,PyTorch,Not Fresher
2178,Web Development,Talsmart,Firewalls,Not Fresher
2179,Game Development,Dell Technologies,TensorFlow,Not Fresher
2180,Web Development,Palo Alto Networks,CI/CD,Fresher
2181,DevOps,Yamaha,Ethical Hacking,Not Fresher
2182,Data Analytics,NI Systems,HTML/CSS,Fresher
2183,Game Development,Intel,Network Security,Fresher
2184,Embedded Systems,Scaler,SQL,Not Fresher
2185,DevOps,Azure,Unreal Engine,Not Fresher
2186,Cybersecurity,Deutsche Bank,Power BI,Fresher
2187,Web Development,Juniper Networks,Ethical Hacking,Not Fresher
2188,Cybersecurity,Marsh McLennan,Flutter,Not Fresher
2189,Data Analytics,KPMG,Unity,Fresher
2190,AI/ML,Seagate,Azure,Fresher
2191,Data Analytics,Persistent,Flutter,Fresher
2192,Data Analytics,Arvind Fashion,Angular,Fresher
2193,Embedded Systems,Watchguard,React,Not Fresher
2194,Cloud Computing,Arvind Fashion,HTML/CSS,Not Fresher
2195,Embedded Systems,Rockstar Games,React,Not Fresher
2196,Data Analytics,Apple,Microcontrollers,Fresher
2197,Web Development,Statcon Electronics,Power BI,Not Fresher
2198,Data Analytics,Palo Alto Networks,Unity,Not Fresher
2199,AI/ML,Talsmart,C,Not Fresher
2200,AI/ML,JSW,Flutter,Fresher
2201,AI/ML,Mercer Mettl,Tableau,Not Fresher
2202,Mobile Development,Synopsys,Firewalls,Not Fresher
2203,Data Analytics,Silicon Labs,Azure,Not Fresher
2204,AI/ML,Yamaha,React Native,Not Fresher
2205,Cybersecurity,Scaler,Firewalls,Fresher
2206,Web Development,Blackrock,Kotlin,Not Fresher
2207,DevOps,Batt:RE,SQL,Fresher
2208,Embedded Systems,Schneider,C#,Not Fresher
2209,Game Development,Mercer Mettl,CI/CD,Not Fresher
2210,AI/ML,Google Cloud,C,Not Fresher
2211,DevOps,AWS,Azure,Not Fresher
2212,Cloud Computing,Microsoft,Firewalls,Fresher
2213,Game Development,Atlassian,Tableau,Not Fresher
2214,Cybersecurity,rtCamp,Unity,Not Fresher
2215,Embedded Systems,Ubisoft,Kubernetes,Not Fresher
2216,Mobile Development,EVAge Motors,Azure,Fresher
2217,Web Development,JSW,Network Security,Fresher
2218,Cloud Computing,SunLife,Unity,Fresher
2219,AI/ML,Maverick Quantum,Angular,Not Fresher
2220,Web Development,Mahindra Comviva,Docker,Not Fresher
2221,Data Analytics,Dell Technologies,Microcontrollers,Fresher
2222,DevOps,Synopsys,C#,Not Fresher
2223,Embedded Systems,Micron Semiconductor,Ethical Hacking,Fresher
2224,Game Development,Apple,Scikit-learn,Not Fresher
2225,Embedded Systems,Statcon Electronics,Kubernetes,Fresher
2226,AI/ML,JSW,PyTorch,Fresher
2227,DevOps,Seagate,Firewalls,Fresher
2228,Game Development,OnePlus,Docker,Fresher
2229,Mobile Development,Red Hat,C#,Fresher
2230,Embedded Systems,Cisco,AWS,Fresher
2231,Cybersecurity,Cimpress,CI/CD,Fresher
2232,Cybersecurity,Oracle,React,Fresher
2233,AI/ML,JK Cement,Power BI,Not Fresher
2234,Game Development,ICICI Prudential,Scikit-learn,Fresher
2235,Web Development,Infosys,Ethical Hacking,Fresher
2236,Web Development,HSC,GCP,Not Fresher
2237,Game Development,Ubisoft,Network Security,Not Fresher
2238,DevOps,Electronic Arts,React Native,Fresher
2239,Web Development,Amazon,Firewalls,Not Fresher
2240,Mobile Development,Navikenz Inc,C,Fresher
2241,Mobile Development,Infosys,Docker,Not Fresher
2242,DevOps,Juniper Networks,Network Security,Not Fresher
2243,Game Development,OpenAI,TensorFlow,Fresher
2244,DevOps,ICICI Prudential,C#,Not Fresher
2245,Cybersecurity,Apple,Unreal Engine,Fresher
2246,Web Development,NVIDIA,C,Fresher
2247,DevOps,Navikenz Inc,Flutter,Fresher
2248,Web Development,Synopsys,GCP,Fresher
2249,Data Analytics,Ubisoft,HTML/CSS,Not Fresher
2250,Embedded Systems,Secure Meters,Angular,Fresher
2251,Cybersecurity,Schneider,Flutter,Fresher
2252,Web Development,Electronic Arts,TensorFlow,Not Fresher
2253,AI/ML,Dell Technologies,React,Not Fresher
2254,AI/ML,Qualcomm,Ethical Hacking,Not Fresher
2255,Game Development,GitHub,Tableau,Fresher
2256,DevOps,Apple,Unreal Engine,Fresher
2257,Game Development,Palo Alto Networks,Power BI,Not Fresher
2258,Game Development,Zscaler,Ethical Hacking,Not Fresher
2259,Embedded Systems,Silicon Labs,Docker,Not Fresher
2260,Data Analytics,HashedIn,Unity,Not Fresher
2261,Embedded Systems,Infosys,Microcontrollers,Not Fresher
2262,DevOps,EVAge Motors,PyTorch,Not Fresher
2263,Embedded Systems,Synopsys,React Native,Fresher
2264,Embedded Systems,Cipla,CI/CD,Fresher
2265,Data Analytics,Philips,GCP,Fresher
2266,Mobile Development,NVIDIA,CI/CD,Fresher
2267,Data Analytics,Bosch Ltd.,Network Security,Not Fresher
2268,Cybersecurity,TVS Motors,SQL,Not Fresher
2269,Web Development,Mercer Mettl,CI/CD,Fresher
2270,Game Development,Silicon Labs,Kubernetes,Not Fresher
2271,Web Development,OnePlus,Scikit-learn,Fresher
2272,DevOps,Juniper Networks,GCP,Fresher
2273,Data Analytics,JSW,Network Security,Fresher
2274,Cybersecurity,Micron Semiconductor,C#,Not Fresher
2275,Cloud Computing,Hyundai,React,Fresher
2276,DevOps,OpenAI,Microcontrollers,Not Fresher
2277,DevOps,NVIDIA,PyTorch,Not Fresher
2278,Game Development,Maverick Quantum,Docker,Not Fresher
2279,Mobile Development,Tata Consulting Engineers,SQL,Not Fresher
2280,Embedded Systems,Microsoft,Azure,Fresher
2281,Data Analytics,Sabre,Azure,Not Fresher
2282,Cybersecurity,Sabre,SQL,Not Fresher
2283,Data Analytics,Harness,Microcontrollers,Not Fresher
2284,Web Development,Watchguard,C#,Fresher
2285,DevOps,PwC,CI/CD,Fresher
2286,DevOps,Mercer Mettl,C,Fresher
2287,AI/ML,Mercer Mettl,Azure,Not Fresher
2288,Mobile Development,Accenture,PyTorch,Fresher
2289,Cloud Computing,GitHub,Power BI,Not Fresher
2290,Embedded Systems,DeepMind,C,Fresher
2291,Embedded Systems,Hexaware,Angular,Fresher
2292,Cloud Computing,Infosys,Angular,Fresher
2293,Cloud Computing,HSC,Network Security,Fresher
2294,AI/ML,TCS,CI/CD,Fresher
2295,DevOps,Secure Meters,CI/CD,Fresher
2296,Embedded Systems,Philips,RTOS,Fresher
2297,Game Development,Silicon Labs,React Native,Fresher
2298,Data Analytics,TCS,GCP,Not Fresher
2299,Cybersecurity,British Telecom,Angular,Fresher
2300,Cybersecurity,Statcon Electronics,SQL,Not Fresher
2301,DevOps,Accolite,C#,Fresher
2302,AI/ML,Qualcomm,AWS,Not Fresher
2303,Data Analytics,Harness,Unreal Engine,Not Fresher
2304,Cybersecurity,Mahindra Comviva,Ethical Hacking,Not Fresher
2305,Web Development,Persistent,React Native,Not Fresher
2306,Cloud Computing,DeepMind,PyTorch,Not Fresher
2307,Embedded Systems,Philips,Docker,Fresher
2308,Web Development,Silicon Labs,Firewalls,Not Fresher
2309,DevOps,Marsh McLennan,PyTorch,Fresher
2310,Data Analytics,Schneider,SQL,Not Fresher
2311,Web Development,Mahindra Comviva,TensorFlow,Not Fresher
2312,Cybersecurity,Statcon Electronics,Unity,Not Fresher
2313,Cloud Computing,Batt:RE,PyTorch,Fresher
2314,Cybersecurity,Accolite,Ethical Hacking,Fresher
2315,Cloud Computing,TVS Motors,Unreal Engine,Fresher
2316,Cloud Computing,Mercer Mettl,Scikit-learn,Fresher
2317,AI/ML,Sabre,C#,Not Fresher
2318,Web Development,Cimpress,C,Fresher
2319,Cybersecurity,Synopsys,Tableau,Fresher
2320,DevOps,Sanguine Global,RTOS,Not Fresher
2321,DevOps,Marsh McLennan,Ethical Hacking,Fresher
2322,Mobile Development,EY,TensorFlow,Fresher
2323,Web Development,Schneider,Angular,Not Fresher
2324,Data Analytics,Schneider,Azure,Fresher
2325,DevOps,Red Hat,Docker,Fresher
2326,Data Analytics,Zscaler,C#,Not Fresher
2327,Game Development,EY,CI/CD,Not Fresher
2328,Cloud Computing,Atlassian,HTML/CSS,Fresher
2329,AI/ML,Celebal Technologies,TensorFlow,Not Fresher
2330,Mobile Development,Schneider,SQL,Fresher
2331,Cybersecurity,Marsh McLennan,Azure,Fresher
2332,Game Development,Rockstar Games,Kotlin,Not Fresher
2333,Web Development,NVIDIA,C#,Not Fresher
2334,Data Analytics,Scaler,GCP,Not Fresher
2335,Game Development,Cimpress,Docker,Not Fresher
2336,Data Analytics,Oracle,Unity,Not Fresher
2337,Game Development,EY,Azure,Fresher
2338,Mobile Development,Secure Meters,Angular,Not Fresher
2339,Cloud Computing,Batt:RE,Flutter,Fresher
2340,Data Analytics,EY,RTOS,Not Fresher
2341,Web Development,Atlassian,Firewalls,Not Fresher
2342,DevOps,KPMG,Microcontrollers,Fresher
2343,Cloud Computing,Tata Consulting Engineers,Microcontrollers,Not Fresher
2344,AI/ML,Sabre,Azure,Not Fresher
2345,Game Development,Rockstar Games,Firewalls,Fresher
2346,Web Development,AWS,TensorFlow,Fresher
2347,Mobile Development,Talsmart,RTOS,Not Fresher
2348,Cybersecurity,GitHub,Kubernetes,Not Fresher
2349,DevOps,Scaler,Unreal Engine,Not Fresher
2350,DevOps,GitHub,Microcontrollers,Fresher
2351,AI/ML,Texas Instruments,RTOS,Fresher
2352,Mobile Development,Azure,Docker,Not Fresher
2353,DevOps,Cimpress,C#,Fresher
2354,Game Development,Rockstar Games,Unity,Fresher
2355,Data Analytics,Persistent,React,Fresher
2356,Game Development,Google Cloud,Azure,Not Fresher
2357,Cybersecurity,Batt:RE,TensorFlow,Not Fresher
2358,Game Development,Celebal Technologies,Ethical Hacking,Not Fresher
2359,Web Development,Intel,Scikit-learn,Not Fresher
2360,Web Development,NI Systems,Docker,Not Fresher
2361,AI/ML,Domato Book Co.,AWS,Fresher
2362,Cybersecurity,Mahindra & Mahindra,Angular,Fresher
2363,Mobile Development,Qualcomm,Microcontrollers,Fresher
2364,AI/ML,Zscaler,Unity,Not Fresher
2365,DevOps,NVIDIA,React,Not Fresher
2366,AI/ML,Secure Meters,Microcontrollers,Not Fresher
2367,Game Development,SAP Lab,Kotlin,Fresher
2368,Mobile Development,Amazon,React,Not Fresher
2369,Mobile Development,JP Morgan,SQL,Fresher
2370,Embedded Systems,Cimpress,Unity,Fresher
2371,DevOps,EY,Network Security,Fresher
2372,DevOps,Qualcomm,GCP,Not Fresher
2373,Cybersecurity,Sabre,React Native,Not Fresher
2374,Data Analytics,Accolite,React Native,Not Fresher
2375,Game Development,Maverick Quantum,Firewalls,Fresher
2376,Cybersecurity,EVAge Motors,Docker,Fresher
2377,DevOps,NVIDIA,C,Fresher
2378,AI/ML,Genpact,Kubernetes,Not Fresher
2379,Cloud Computing,Juniper Networks,Unity,Fresher
2380,Cybersecurity,AWS,SQL,Not Fresher
2381,Game Development,GitHub,GCP,Not Fresher
2382,DevOps,Palo Alto Networks,Power BI,Fresher
2383,DevOps,SAP Lab,Unity,Fresher
2384,Game Development,HashedIn,Azure,Not Fresher
2385,Embedded Systems,Tech Mahindra,Tableau,Fresher
2386,Cybersecurity,Mahindra & Mahindra,SQL,Fresher
2387,Embedded Systems,Bosch Ltd.,Microcontrollers,Fresher
2388,Cybersecurity,Harness,Angular,Not Fresher
2389,Web Development,Electronic Arts,Scikit-learn,Not Fresher
2390,DevOps,Arvind Fashion,Kotlin,Not Fresher
2391,Cybersecurity,Mahindra Comviva,Network Security,Fresher
2392,Web Development,Silicon Labs,React,Fresher
2393,Embedded Systems,Blackrock,Unity,Not Fresher
2394,Cloud Computing,Hexaware,Microcontrollers,Fresher
2395,Embedded Systems,SunLife,AWS,Not Fresher
2396,Web Development,Accolite,TensorFlow,Not Fresher
2397,AI/ML,JK Cement,GCP,Not Fresher
2398,Web Development,Samsung,Unreal Engine,Fresher
2399,Data Analytics,Silicon Labs,Docker,Not Fresher
2400,Mobile Development,Hexaware,Power BI,Fresher
2401,Web Development,Samsung,AWS,Fresher
2402,Web Development,Sabre,Kotlin,Not Fresher
2403,Mobile Development,Zscaler,AWS,Fresher
2404,Data Analytics,Palo Alto Networks,CI/CD,Fresher
2405,Cybersecurity,Sanguine Global,HTML/CSS,Fresher
2406,Embedded Systems,Tata Consulting Engineers,SQL,Fresher
2407,Mobile Development,Hexaware,Network Security,Not Fresher
2408,Cloud Computing,Accolite,C,Fresher
2409,DevOps,Zscaler,Flutter,Fresher
2410,Mobile Development,Sanguine Global,HTML/CSS,Not Fresher
2411,AI/ML,Synopsys,Scikit-learn,Not Fresher
2412,Mobile Development,Deloitte,Angular,Fresher
2413,Embedded Systems,ICICI Prudential,C#,Not Fresher
2414,Web Development,PwC,Docker,Not Fresher
2415,Data Analytics,Oracle,Power BI,Not Fresher
2416,Embedded Systems,Zscaler,AWS,Not Fresher
2417,AI/ML,Accolite,Kotlin,Not Fresher
2418,Cybersecurity,Apple,Flutter,Not Fresher
2419,DevOps,Ubisoft,Firewalls,Not Fresher
2420,Embedded Systems,Bosch Ltd.,Microcontrollers,Fresher
2421,Mobile Development,TCS,Ethical Hacking,Fresher
2422,Web Development,JP Morgan,Docker,Not Fresher
2423,Game Development,Accolite,HTML/CSS,Fresher
2424,Cybersecurity,Accolite,RTOS,Not Fresher
2425,DevOps,Qualcomm,Azure,Fresher
2426,Data Analytics,Mahindra Comviva,HTML/CSS,Fresher
2427,DevOps,Harness,RTOS,Fresher
2428,AI/ML,HSC,Unity,Fresher
2429,DevOps,Cisco,Unity,Not Fresher
2430,Cloud Computing,TCS,React Native,Not Fresher
2431,AI/ML,EVAge Motors,Kubernetes,Fresher
2432,Game Development,NVIDIA,PyTorch,Fresher
2433,Mobile Development,Cisco,Unreal Engine,Not Fresher
2434,Mobile Development,Schneider,Firewalls,Not Fresher
2435,Mobile Development,HashedIn,Ethical Hacking,Fresher
2436,AI/ML,Intel,Kubernetes,Not Fresher
2437,Web Development,SAP Lab,Azure,Not Fresher
2438,DevOps,Blackrock,Ethical Hacking,Not Fresher
2439,Data Analytics,Deutsche Bank,Power BI,Not Fresher
2440,Cybersecurity,Synopsys,AWS,Not Fresher
2441,Web Development,KPMG,React,Fresher
2442,AI/ML,Scaler,Flutter,Fresher
2443,Cloud Computing,OnePlus,CI/CD,Fresher
2444,DevOps,Mahindra & Mahindra,Ethical Hacking,Not Fresher
2445,Mobile Development,SunLife,Azure,Not Fresher
2446,Mobile Development,PwC,C#,Not Fresher
2447,AI/ML,Sanguine Global,CI/CD,Fresher
2448,Web Development,Philips,Network Security,Fresher
2449,Web Development,Genpact,Flutter,Not Fresher
2450,Mobile Development,GitHub,Tableau,Fresher
2451,Cybersecurity,TVS Motors,SQL,Not Fresher
2452,DevOps,Genpact,SQL,Fresher
2453,Embedded Systems,Azure,C#,Fresher
2454,Embedded Systems,Scaler,RTOS,Not Fresher
2455,Cloud Computing,TVS Motors,C#,Not Fresher
2456,DevOps,Texas Instruments,Power BI,Not Fresher
2457,Mobile Development,PwC,RTOS,Fresher
2458,Web Development,NI Systems,Power BI,Not Fresher
2459,AI/ML,Atlassian,SQL,Not Fresher
2460,Mobile Development,Red Hat,Unreal Engine,Fresher
2461,Web Development,Watchguard,Microcontrollers,Not Fresher
2462,Cybersecurity,Cisco,Scikit-learn,Fresher
2463,Cloud Computing,GitHub,Scikit-learn,Fresher
2464,AI/ML,Marsh McLennan,Kubernetes,Not Fresher
2465,Cloud Computing,Batt:RE,C#,Not Fresher
2466,Cybersecurity,Qualcomm,CI/CD,Not Fresher
2467,Cybersecurity,Accenture,Tableau,Fresher
2468,Game Development,Sabre,Firewalls,Not Fresher
2469,Game Development,Nokia,Power BI,Not Fresher
2470,DevOps,Deutsche Bank,Network Security,Fresher
2471,Cloud Computing,Red Hat,HTML/CSS,Not Fresher
2472,Web Development,JSW,GCP,Fresher
2473,Mobile Development,Tech Mahindra,AWS,Fresher
2474,Data Analytics,DeepMind,Angular,Fresher
2475,DevOps,Rockstar Games,Angular,Not Fresher
2476,Game Development,Bosch Ltd.,RTOS,Fresher
2477,AI/ML,Persistent,HTML/CSS,Fresher
2478,Cybersecurity,Texas Instruments,TensorFlow,Fresher
2479,Cloud Computing,Sanguine Global,GCP,Fresher
2480,AI/ML,Silicon Labs,HTML/CSS,Fresher
2481,Embedded Systems,Azure,GCP,Not Fresher
2482,Web Development,Juniper Networks,Ethical Hacking,Not Fresher
2483,Embedded Systems,JK Cement,Unreal Engine,Not Fresher
2484,Embedded Systems,Harness,SQL,Fresher
2485,Mobile Development,OnePlus,Firewalls,Fresher
2486,Web Development,Philips,Angular,Fresher
2487,Cybersecurity,Qualcomm,React Native,Fresher
2488,Data Analytics,Qualcomm,Azure,Not Fresher
2489,Mobile Development,TCS,HTML/CSS,Fresher
2490,Game Development,Deutsche Bank,Microcontrollers,Fresher
2491,Web Development,Deloitte,Tableau,Fresher
2492,DevOps,Amazon,AWS,Fresher
2493,Embedded Systems,Nokia,Unity,Fresher
2494,Data Analytics,Yamaha,Docker,Not Fresher
2495,Web Development,Maverick Quantum,Flutter,Fresher
2496,AI/ML,JK Cement,AWS,Fresher
2497,Game Development,Amazon,Angular,Fresher
2498,Cloud Computing,Principal Global,Kubernetes,Fresher
2499,Cloud Computing,Ubisoft,Microcontrollers,Not Fresher
2500,Mobile Development,Micron Semiconductor,C#,Not Fresher
2501,Mobile Development,Zscaler,Power BI,Fresher
2502,DevOps,Nokia,Azure,Fresher
2503,AI/ML,Domato Book Co.,Flutter,Not Fresher
2504,AI/ML,Arvind Fashion,AWS,Fresher
2505,Data Analytics,OpenAI,SQL,Not Fresher
2506,DevOps,Scaler,Kotlin,Fresher
2507,Data Analytics,Blackrock,Kotlin,Not Fresher
2508,Data Analytics,HSC,Unreal Engine,Not Fresher
2509,Web Development,Palo Alto Networks,Tableau,Not Fresher
2510,Data Analytics,Juniper Networks,Angular,Not Fresher
2511,Data Analytics,Philips,Unreal Engine,Fresher
2512,Data Analytics,EVAge Motors,C,Not Fresher
2513,Cloud Computing,Red Hat,Unity,Not Fresher
2514,Cybersecurity,Harness,Firewalls,Not Fresher
2515,Cloud Computing,Nokia,SQL,Not Fresher
2516,Web Development,SAP Lab,HTML/CSS,Not Fresher
2517,Data Analytics,Sabre,Scikit-learn,Not Fresher
2518,AI/ML,Accolite,Tableau,Fresher
2519,Mobile Development,Tech Mahindra,C#,Not Fresher
2520,Cloud Computing,Rockstar Games,Angular,Fresher
2521,Cybersecurity,Deutsche Bank,Tableau,Not Fresher
2522,Cybersecurity,Samsung,Ethical Hacking,Not Fresher
2523,Game Development,Rockstar Games,React Native,Fresher
2524,Cloud Computing,Amazon,React,Not Fresher
2525,Mobile Development,Statcon Electronics,PyTorch,Fresher
2526,Web Development,EVAge Motors,Firewalls,Not Fresher
2527,Embedded Systems,Deutsche Bank,HTML/CSS,Fresher
2528,Data Analytics,Scaler,Docker,Not Fresher
2529,Embedded Systems,JSW,Microcontrollers,Not Fresher
2530,DevOps,JP Morgan,C#,Not Fresher
2531,Data Analytics,NI Systems,AWS,Fresher
2532,Cybersecurity,Batt:RE,Microcontrollers,Not Fresher
2533,Web Development,Hyundai,TensorFlow,Fresher
2534,Cloud Computing,Schneider,Kotlin,Fresher
2535,Game Development,Seagate,CI/CD,Not Fresher
2536,Cybersecurity,Texas Instruments,HTML/CSS,Fresher
2537,DevOps,Hyundai,Tableau,Not Fresher
2538,Cybersecurity,Principal Global,React,Not Fresher
2539,Data Analytics,OpenAI,Ethical Hacking,Not Fresher
2540,Game Development,Amazon,PyTorch,Not Fresher
2541,Cybersecurity,Batt:RE,Flutter,Fresher
2542,DevOps,rtCamp,Kotlin,Not Fresher
2543,Game Development,Juniper Networks,GCP,Fresher
2544,Mobile Development,Bosch Ltd.,Azure,Fresher
2545,Game Development,Sabre,Kotlin,Not Fresher
2546,Game Development,Micron Semiconductor,Kubernetes,Not Fresher
2547,AI/ML,DeepMind,Scikit-learn,Fresher
2548,Cloud Computing,Synopsys,Kubernetes,Fresher
2549,AI/ML,Principal Global,C,Fresher
2550,Game Development,Rockstar Games,Scikit-learn,Fresher
2551,Data Analytics,TVS Motors,Scikit-learn,Not Fresher
2552,Embedded Systems,Qualcomm,Scikit-learn,Not Fresher
2553,Cloud Computing,Intel,Power BI,Not Fresher
2554,Data Analytics,Secure Meters,Angular,Fresher
2555,Game Development,Tech Mahindra,HTML/CSS,Fresher
2556,Game Development,Sanguine Global,Power BI,Not Fresher
2557,Data Analytics,Accolite,RTOS,Fresher
2558,Mobile Development,Amazon,Flutter,Fresher
2559,Game Development,Qualcomm,Firewalls,Fresher
2560,Data Analytics,OpenAI,Tableau,Not Fresher
2561,Web Development,Genpact,Docker,Not Fresher
